Name|Previous Close|Open|Bid|Ask|Day's Range|52 Week Range|Volume|Avg. Volume|Market Cap (intraday)|Beta (5Y Monthly)|PE Ratio (TTM)|EPS (TTM)|Earnings Date|Forward Dividend & Yield|Ex-Dividend Date|1y Target Est
AAPL|203.19 |193.93 |188.25 x 400|188.88 x 400|187.35 - 199.88 |164.08 - 260.10 |124,921,508 |54,722,618 |2.83T |1.26|29.95 |6.29 |Apr 30, 2025 - May 5, 2025|1.00 (0.53%)|Feb 10, 2025|250.40 
MSFT|373.11 |364.12 |345.94 x 100|382.61 x 100|359.49 - 374.59 |359.48 - 468.35 |48,685,644 |23,734,163 |2.675T |1.00|29.00 |12.41 |Apr 23, 2025 - Apr 28, 2025|3.32 (0.92%)|May 15, 2025|503.86 
NVDA|101.80 |98.94 |94.33 x 100|94.49 x 100|92.11 - 100.12 |75.61 - 153.13 |525,608,136 |286,926,860 |2.301T |1.96|32.08 |2.94 |May 28, 2025|0.04 (0.04%)|Mar 12, 2025|170.01 
AMZN|178.41 |167.15 |165.05 x 100|171.15 x 100|166.00 - 178.14 |151.61 - 242.52 |118,861,656 |43,001,542 |1.812T |1.39|30.98 |5.52 |Apr 28, 2025 - May 2, 2025|--|--|263.61 
META|531.62 |506.62 |504.54 x 100|532.77 x 100|494.20 - 518.00 |414.50 - 740.91 |38,212,100 |17,060,565 |1.279T |1.28|21.14 |23.87 |Apr 30, 2025|2.10 (0.42%)|Mar 14, 2025|762.99 
BRK-B|530.16 |519.00 |493.00 x 800|493.50 x 1200|492.98 - 520.56 |395.66 - 539.00 |12,578,802 |4,659,303 |1.066T |0.80|11.96 |41.26 |May 2, 2025 - May 6, 2025|--|--|502.00 
GOOGL|150.72 |148.18 |140.60 x 100|145.71 x 200|145.38 - 151.05 |145.38 - 207.05 |62,058,272 |32,100,175 |1.787T |1.03|18.11 |8.04 |Apr 23, 2025 - Apr 28, 2025|0.80 (0.55%)|Mar 10, 2025|215.92 
TSLA|267.28 |255.37 |235.00 x 200|253.67 x 100|236.00 - 261.00 |138.80 - 488.54 |179,251,800 |101,585,827 |770.131B |2.58|117.37 |2.04 |Apr 22, 2025|--|--|323.87 
AVGO|154.01 |148.23 |141.17 x 100|153.18 x 100|139.17 - 152.80 |119.76 - 251.88 |71,907,529 |31,339,952 |687.848B |1.07|67.41 |2.17 |Jun 10, 2025 - Jun 16, 2025|2.36 (1.61%)|Mar 20, 2025|249.03 
GOOG|152.63 |149.90 |142.41 x 100|157.79 x 100|147.55 - 153.09 |147.54 - 208.70 |39,449,871 |20,547,327 |1.787T |1.03|18.38 |8.04 |Apr 23, 2025 - Apr 28, 2025|0.80 (0.54%)|Mar 10, 2025|215.18 
JPM|227.29 |215.30 |209.45 x 800|214.34 x 800|208.93 - 217.70 |179.20 - 280.25 |27,136,867 |10,871,619 |587.966B |1.00|10.65 |19.75 |Apr 11, 2025|5.60 (2.66%)|Apr 4, 2025|262.50 
LLY|789.09 |762.11 |745.68 x 1100|718.00 x 800|734.70 - 767.31 |711.40 - 972.53 |4,546,127 |3,698,222 |662.905B |0.50|62.88 |11.74 |May 1, 2025|6.00 (0.81%)|Feb 14, 2025|1,010.47 
V|339.39 |330.00 |311.00 x 1200|316.00 x 1300|312.13 - 334.58 |252.70 - 366.54 |13,192,106 |6,838,645 |604.031B |0.94|31.53 |9.93 |Apr 21, 2025 - Apr 25, 2025|2.36 (0.75%)|Feb 11, 2025|377.09 
UNH|540.44 |540.64 |532.50 x 800|523.50 x 800|524.87 - 551.74 |436.38 - 630.73 |9,907,516 |4,885,960 |480.27B |0.62|33.90 |15.49 |Apr 17, 2025|8.40 (1.60%)|Mar 10, 2025|628.30 
XOM|112.43 |109.86 |104.11 x 1100|105.45 x 800|103.84 - 110.83 |103.67 - 126.34 |30,821,496 |16,438,824 |452.746B |0.58|13.31 |7.84 |Apr 3, 2025|3.96 (3.80%)|Feb 12, 2025|128.71 
